Q,anchor_index,anchor_s,phase_index,stroke_phase,antipodal_cosine,antipodal_residual,antipodal_amplitude_ratio,full_return_cosine,full_return_residual,full_return_amplitude_ratio,pair_midpoint_drift,tangent_signed_return_P,tangent_signed_return_2P
522.25,0,1165.3302981858608,0,0.0,0.9999903247982884,0.004522907109254628,0.9953671267487794,0.9999611213199299,0.006435518813931362,0.9977498364422072,0.0033936154175622187,-0.9999909153924529,0.9999634509795865
522.25,0,1165.3302981858608,1,0.004166666666666667,0.9999906279152905,0.004582750102373509,0.9951888036859831,0.9999616031954186,0.006472449929296962,0.9973592735419872,0.003450571802850289,-0.9999910046789452,0.9999637742068328
522.25,0,1165.3302981858608,2,0.008333333333333333,0.9999909210291938,0.0047513856091223996,0.994817904600044,0.9999621589060719,0.006572431608660883,0.9967324340501116,0.0035907308997532366,-0.999991104680058,0.9999641412417456
522.25,0,1165.3302981858608,3,0.0125,0.9999912505333469,0.004757671528058029,0.9947438991034296,0.9999627991145935,0.006611165772049045,0.9963990332723528,0.003608752370210644,-0.9999912030225337,0.9999645269107887
522.25,0,1165.3302981858608,4,0.016666666666666666,0.9999915373681927,0.0041976743511334905,0.9957294286964997,0.9999634021452016,0.006417807067116738,0.996974543596474,0.0031947185345159875,-0.9999906722534762,0.9999637022839237
522.25,0,1165.3302981858608,5,0.020833333333333332,0.999991729318913,0.003949461171893125,0.996179089542183,0.9999638704549807,0.006187223493162354,0.9979274116886712,0.0030148246045893696,-0.9999904677781041,0.9999628072266169
522.25,0,1165.3302981858608,6,0.025,0.9999919487415018,0.004123602860155583,0.995777396692941,0.9999642088390757,0.006082024369471179,0.9984520681394936,0.0031566920453038015,-0.9999905657721438,0.9999618987053576
522.25,0,1165.3302981858608,7,0.029166666666666667,0.999992178995142,0.004211132889282085,0.9955573045249403,0.9999645269196217,0.006110252395297991,0.9980720045547827,0.0032333242221150656,-0.9999906860591314,0.9999623447518248
522.25,0,1165.3302981858608,8,0.03333333333333333,0.9999924052749062,0.004311285564654029,0.9953221286490572,0.9999649291141263,0.006190331255194046,0.9974539573913449,0.0033205833229619534,-0.9999908183048074,0.999962839982109
522.25,0,1165.3302981858608,9,0.0375,0.9999926616228338,0.004368694269279674,0.9951646026810669,0.9999653987073264,0.006232382907627707,0.997091690086027,0.003375479829444766,-0.9999909365517312,0.9999633298899052
522.25,0,1165.3302981858608,10,0.041666666666666664,0.9999929178228728,0.004164203617641934,0.9954806570314023,0.9999659222041801,0.006184508273413892,0.9971160863750641,0.0032273763804942777,-0.9999906544563409,0.9999630616606904
