Q,interval,eigenvalue_index,real,imaginary,absolute_value
522.25,P_line,0,1.0000009149291818,0.0,1.0000009149291818
522.25,P_line,1,0.018280616380508735,0.6567415583429118,0.6569959325520421
522.25,P_line,2,0.018280616380508735,-0.6567415583429118,0.6569959325520421
522.25,P_line,3,-0.23743113649157205,0.6023979657730221,0.6475004662107623
522.25,P_line,4,-0.23743113649157205,-0.6023979657730221,0.6475004662107623
522.25,P_line,5,-0.6235451669465057,0.22759971685547536,0.6637847590409396
522.25,P_line,6,-0.6235451669465057,-0.22759971685547536,0.6637847590409396
522.25,P_line,7,-1.0000134482795482,0.005261256208370326,1.0000272884060928
522.25,P_line,8,-1.0000134482795482,-0.005261256208370326,1.0000272884060928
522.25,2P_line,0,0.3370095341853048,0.28383386598002425,0.4406099063899523
522.25,2P_line,1,0.3370095341853048,-0.28383386598002425,0.4406099063899523
522.25,2P_line,2,-0.4309718568500922,0.024009753798466732,0.43164013909074694
522.25,2P_line,3,-0.4309718568500922,-0.024009753798466732,0.43164013909074694
522.25,2P_line,4,-0.3065095340536724,0.28606038972191533,0.4192596343957446
522.25,2P_line,5,-0.3065095340536724,-0.28606038972191533,0.4192596343957446
522.25,2P_line,6,0.9999859892881162,0.010513591464021027,1.0000412563379597
522.25,2P_line,7,0.9999859892881162,-0.010513591464021027,1.0000412563379597
522.25,2P_line,8,1.00000000774395,0.0,1.00000000774395
550.0,P_line,0,0.9999846653956235,0.0,0.9999846653956235
550.0,P_line,1,0.15017687384542366,0.634052896454003,0.6515950958530112
550.0,P_line,2,0.15017687384542366,-0.634052896454003,0.6515950958530112
550.0,P_line,3,-0.18698551621854614,0.6150918454803282,0.6428853409838431
550.0,P_line,4,-0.18698551621854614,-0.6150918454803282,0.6428853409838431
550.0,P_line,5,-0.6017425019266232,0.26490249638322066,0.6574704337192466
550.0,P_line,6,-0.6017425019266232,-0.26490249638322066,0.6574704337192466
550.0,P_line,7,-1.001352541067237,0.00589916265005774,1.0013699174739494
550.0,P_line,8,-1.001352541067237,-0.00589916265005774,1.0013699174739494
550.0,2P_line,0,0.29192429395980446,0.31880598398591203,0.43226964828583087
550.0,2P_line,1,0.29192429395980446,-0.31880598398591203,0.43226964828583087
550.0,2P_line,2,-0.3794269781257584,0.19046167186143328,0.42454738272411596
550.0,2P_line,3,-0.3794269781257584,-0.19046167186143328,0.42454738272411596
550.0,2P_line,4,-0.3434095168498721,0.23003329518532029,0.4133345051612305
550.0,2P_line,5,-0.3434095168498721,-0.23003329518532029,0.4133345051612305
550.0,2P_line,6,1.0027613383998697,0.011994154089836801,1.002833067624831
550.0,2P_line,7,1.0027613383998697,-0.011994154089836801,1.002833067624831
550.0,2P_line,8,0.9999999601348987,0.0,0.9999999601348987
